kind,N,threshold,trial,ms
random,35000,50,6,1
random,35000,50,7,1
random,35100,5,1,2
random,35100,5,2,2
random,35100,5,3,2
random,35100,5,4,1
random,35100,5,5,1
random,35100,5,6,1
random,35100,5,7,1
random,35100,10,1,1
random,35100,10,2,1
random,35100,10,3,1
random,35100,10,4,1
random,35100,10,5,1
random,35100,10,6,1
random,35100,10,7,1
random,35100,20,1,1
random,35100,20,2,1
random,35100,20,3,1
random,35100,20,4,1
random,35100,20,5,1
random,35100,20,6,1
random,35100,20,7,1
random,35100,30,1,1
random,35100,30,2,1
random,35100,30,3,1
random,35100,30,4,1
random,35100,30,5,1
random,35100,30,6,1
random,35100,30,7,1
random,35100,50,1,1
random,35100,50,2,1
random,35100,50,3,1
random,35100,50,4,1
random,35100,50,5,1
random,35100,50,6,1
random,35100,50,7,1
random,35200,5,1,1
random,35200,5,2,2
random,35200,5,3,1
random,35200,5,4,1
random,35200,5,5,2
random,35200,5,6,1
random,35200,5,7,2
random,35200,10,1,1
random,35200,10,2,1
random,35200,10,3,1
random,35200,10,4,1
random,35200,10,5,1
random,35200,10,6,1
random,35200,10,7,1
random,35200,20,1,1
random,35200,20,2,2
random,35200,20,3,2
random,35200,20,4,1
random,35200,20,5,1
random,35200,20,6,1
random,35200,20,7,1
random,35200,30,1,1
random,35200,30,2,1
random,35200,30,3,1
random,35200,30,4,1
random,35200,30,5,1
random,35200,30,6,1
random,35200,30,7,1
random,35200,50,1,1
random,35200,50,2,1
random,35200,50,3,1
random,35200,50,4,1
random,35200,50,5,1
random,35200,50,6,1
random,35200,50,7,1
random,35300,5,1,2
random,35300,5,2,2
random,35300,5,3,2
random,35300,5,4,2
random,35300,5,5,2
random,35300,5,6,2
random,35300,5,7,2
random,35300,10,1,1
random,35300,10,2,1
random,35300,10,3,1
random,35300,10,4,2
random,35300,10,5,1
random,35300,10,6,1
random,35300,10,7,2
random,35300,20,1,1
random,35300,20,2,1
random,35300,20,3,1
random,35300,20,4,1
random,35300,20,5,1
random,35300,20,6,1
random,35300,20,7,1
random,35300,30,1,1
random,35300,30,2,1
random,35300,30,3,1
random,35300,30,4,1
random,35300,30,5,1
random,35300,30,6,1
random,35300,30,7,1
random,35300,50,1,1
random,35300,50,2,1
random,35300,50,3,1
random,35300,50,4,1
random,35300,50,5,1
random,35300,50,6,1
random,35300,50,7,1
random,35400,5,1,2
random,35400,5,2,1
random,35400,5,3,2
random,35400,5,4,2
random,35400,5,5,2
random,35400,5,6,2
random,35400,5,7,1
random,35400,10,1,1
random,35400,10,2,1
random,35400,10,3,1
random,35400,10,4,1
random,35400,10,5,1
random,35400,10,6,1
random,35400,10,7,1
random,35400,20,1,1
random,35400,20,2,1
random,35400,20,3,1
random,35400,20,4,2
random,35400,20,5,1
random,35400,20,6,1
random,35400,20,7,1
random,35400,30,1,2
random,35400,30,2,1
random,35400,30,3,1
random,35400,30,4,1
random,35400,30,5,1
random,35400,30,6,1
random,35400,30,7,1
random,35400,50,1,1
random,35400,50,2,1
random,35400,50,3,1
random,35400,50,4,1
random,35400,50,5,1
random,35400,50,6,1
random,35400,50,7,1
random,35500,5,1,2
random,35500,5,2,2
random,35500,5,3,2
random,35500,5,4,2
random,35500,5,5,2
random,35500,5,6,2
random,35500,5,7,2
random,35500,10,1,1
random,35500,10,2,2
random,35500,10,3,1
random,35500,10,4,1
random,35500,10,5,1
random,35500,10,6,1
random,35500,10,7,1
random,35500,20,1,1
random,35500,20,2,1
random,35500,20,3,1
random,35500,20,4,1
random,35500,20,5,1
random,35500,20,6,1
random,35500,20,7,1
random,35500,30,1,1
random,35500,30,2,1
random,35500,30,3,1
random,35500,30,4,1
random,35500,30,5,1
random,35500,30,6,1
random,35500,30,7,1
random,35500,50,1,1
random,35500,50,2,1
random,35500,50,3,1
random,35500,50,4,1
random,35500,50,5,1
random,35500,50,6,1
random,35500,50,7,1
random,35600,5,1,2
random,35600,5,2,1
random,35600,5,3,2
random,35600,5,4,2
random,35600,5,5,2
random,35600,5,6,2
random,35600,5,7,2
random,35600,10,1,1
random,35600,10,2,1
random,35600,10,3,1
random,35600,10,4,1
random,35600,10,5,1
random,35600,10,6,1
random,35600,10,7,1
random,35600,20,1,1
random,35600,20,2,1
random,35600,20,3,1
random,35600,20,4,1
random,35600,20,5,1
random,35600,20,6,1
random,35600,20,7,1
random,35600,30,1,1
random,35600,30,2,1
random,35600,30,3,1
random,35600,30,4,1
random,35600,30,5,1
random,35600,30,6,1
random,35600,30,7,1
random,35600,50,1,2
random,35600,50,2,1
random,35600,50,3,2
random,35600,50,4,2
random,35600,50,5,1
random,35600,50,6,1
random,35600,50,7,1
random,35700,5,1,2
random,35700,5,2,2
random,35700,5,3,2
random,35700,5,4,2
random,35700,5,5,2
random,35700,5,6,2
random,35700,5,7,2
random,35700,10,1,2
random,35700,10,2,2
random,35700,10,3,2
random,35700,10,4,1
random,35700,10,5,1
random,35700,10,6,1
random,35700,10,7,1
random,35700,20,1,1
random,35700,20,2,1
random,35700,20,3,1
random,35700,20,4,1
random,35700,20,5,1
random,35700,20,6,1
random,35700,20,7,1
random,35700,30,1,1
random,35700,30,2,1
random,35700,30,3,1
random,35700,30,4,1
random,35700,30,5,1
random,35700,30,6,1
random,35700,30,7,1
random,35700,50,1,1
random,35700,50,2,1
random,35700,50,3,1
random,35700,50,4,1
random,35700,50,5,1
random,35700,50,6,1
random,35700,50,7,1
random,35800,5,1,2
random,35800,5,2,2
random,35800,5,3,2
random,35800,5,4,2
random,35800,5,5,2
random,35800,5,6,2
random,35800,5,7,2
random,35800,10,1,1
random,35800,10,2,1
random,35800,10,3,1
random,35800,10,4,1
random,35800,10,5,2
random,35800,10,6,2
random,35800,10,7,2
random,35800,20,1,1
random,35800,20,2,1
random,35800,20,3,1
random,35800,20,4,1
random,35800,20,5,1
random,35800,20,6,1
random,35800,20,7,1
random,35800,30,1,1
random,35800,30,2,1
random,35800,30,3,1
random,35800,30,4,1
random,35800,30,5,1
random,35800,30,6,2
random,35800,30,7,2
random,35800,50,1,1
random,35800,50,2,1
random,35800,50,3,1
random,35800,50,4,1
random,35800,50,5,1
random,35800,50,6,1
random,35800,50,7,1
random,35900,5,1,2
random,35900,5,2,2
random,35900,5,3,2
random,35900,5,4,2
random,35900,5,5,2
random,35900,5,6,2
random,35900,5,7,2
random,35900,10,1,2
random,35900,10,2,2
random,35900,10,3,2
random,35900,10,4,2
random,35900,10,5,2
random,35900,10,6,2
random,35900,10,7,2
random,35900,20,1,2
random,35900,20,2,2
random,35900,20,3,2
random,35900,20,4,2
random,35900,20,5,2
random,35900,20,6,1
random,35900,20,7,1
random,35900,30,1,1
random,35900,30,2,1
random,35900,30,3,1
random,35900,30,4,1
random,35900,30,5,1
random,35900,30,6,1
random,35900,30,7,1
random,35900,50,1,1
random,35900,50,2,1
random,35900,50,3,1
random,35900,50,4,1
random,35900,50,5,1
random,35900,50,6,1
random,35900,50,7,1
random,36000,5,1,2
random,36000,5,2,2
random,36000,5,3,2
random,36000,5,4,2
random,36000,5,5,2
random,36000,5,6,2
random,36000,5,7,2
random,36000,10,1,2
random,36000,10,2,2
random,36000,10,3,2
random,36000,10,4,2
random,36000,10,5,2
random,36000,10,6,2
random,36000,10,7,1
random,36000,20,1,1
random,36000,20,2,1
random,36000,20,3,1
random,36000,20,4,1
random,36000,20,5,2
random,36000,20,6,2
random,36000,20,7,1
random,36000,30,1,1
random,36000,30,2,1
random,36000,30,3,1
random,36000,30,4,1
random,36000,30,5,1
random,36000,30,6,1
random,36000,30,7,1
random,36000,50,1,1
random,36000,50,2,1
random,36000,50,3,1
random,36000,50,4,1
random,36000,50,5,1
random,36000,50,6,1
random,36000,50,7,1
random,36100,5,1,2
random,36100,5,2,2
random,36100,5,3,2
random,36100,5,4,2
random,36100,5,5,2
random,36100,5,6,2
random,36100,5,7,2
random,36100,10,1,2
random,36100,10,2,2
random,36100,10,3,2
random,36100,10,4,2
random,36100,10,5,2
random,36100,10,6,2
random,36100,10,7,1
random,36100,20,1,1
random,36100,20,2,1
random,36100,20,3,1
random,36100,20,4,1
random,36100,20,5,1
random,36100,20,6,1
random,36100,20,7,1
random,36100,30,1,1
random,36100,30,2,1
random,36100,30,3,1
random,36100,30,4,1
random,36100,30,5,2
random,36100,30,6,2
random,36100,30,7,1
random,36100,50,1,2
random,36100,50,2,1
random,36100,50,3,1
random,36100,50,4,1
random,36100,50,5,1
random,36100,50,6,2
random,36100,50,7,2
random,36200,5,1,2
random,36200,5,2,2
random,36200,5,3,2
random,36200,5,4,2
random,36200,5,5,2
random,36200,5,6,2
random,36200,5,7,2
random,36200,10,1,2
random,36200,10,2,1
random,36200,10,3,2
random,36200,10,4,2
random,36200,10,5,2
random,36200,10,6,2
random,36200,10,7,2
random,36200,20,1,2
random,36200,20,2,2
random,36200,20,3,2
random,36200,20,4,2
random,36200,20,5,1
random,36200,20,6,1
random,36200,20,7,1
random,36200,30,1,1
random,36200,30,2,1
random,36200,30,3,1
random,36200,30,4,1
random,36200,30,5,1
random,36200,30,6,1
random,36200,30,7,1
random,36200,50,1,1
random,36200,50,2,1
random,36200,50,3,1
random,36200,50,4,1
random,36200,50,5,1
random,36200,50,6,1
random,36200,50,7,1
random,36300,5,1,2
random,36300,5,2,2
random,36300,5,3,2
random,36300,5,4,2
random,36300,5,5,2
random,36300,5,6,2
random,36300,5,7,2
random,36300,10,1,2
random,36300,10,2,2
random,36300,10,3,2
random,36300,10,4,2
random,36300,10,5,2
random,36300,10,6,2
random,36300,10,7,2
random,36300,20,1,2
random,36300,20,2,2
random,36300,20,3,2
random,36300,20,4,1
random,36300,20,5,1
random,36300,20,6,1
random,36300,20,7,1
random,36300,30,1,1
random,36300,30,2,1
random,36300,30,3,1
random,36300,30,4,1
random,36300,30,5,1
random,36300,30,6,1
random,36300,30,7,2
random,36300,50,1,1
random,36300,50,2,1
random,36300,50,3,1
random,36300,50,4,1
random,36300,50,5,1
random,36300,50,6,1
random,36300,50,7,1
random,36400,5,1,2
random,36400,5,2,2
random,36400,5,3,2
random,36400,5,4,2
random,36400,5,5,2
random,36400,5,6,2
random,36400,5,7,2
random,36400,10,1,1
random,36400,10,2,1
random,36400,10,3,1
random,36400,10,4,1
random,36400,10,5,1
random,36400,10,6,2
random,36400,10,7,1
random,36400,20,1,1
random,36400,20,2,1
random,36400,20,3,1
random,36400,20,4,1
random,36400,20,5,1
random,36400,20,6,1
random,36400,20,7,1
random,36400,30,1,1
random,36400,30,2,1
random,36400,30,3,1
random,36400,30,4,1
random,36400,30,5,2
random,36400,30,6,1
random,36400,30,7,1
random,36400,50,1,1
random,36400,50,2,1
random,36400,50,3,1
random,36400,50,4,1
random,36400,50,5,1
random,36400,50,6,1
random,36400,50,7,1
random,36500,5,1,2
random,36500,5,2,2
random,36500,5,3,2
random,36500,5,4,2
random,36500,5,5,2
random,36500,5,6,2
random,36500,5,7,2
random,36500,10,1,1
random,36500,10,2,1
random,36500,10,3,1
random,36500,10,4,1
random,36500,10,5,1
random,36500,10,6,1
random,36500,10,7,1
random,36500,20,1,1
random,36500,20,2,1
random,36500,20,3,1
random,36500,20,4,1
random,36500,20,5,1
random,36500,20,6,1
random,36500,20,7,1
random,36500,30,1,1
random,36500,30,2,1
random,36500,30,3,1
random,36500,30,4,1
random,36500,30,5,1
random,36500,30,6,1
random,36500,30,7,1
random,36500,50,1,1
random,36500,50,2,1
random,36500,50,3,1
random,36500,50,4,1
random,36500,50,5,1
random,36500,50,6,1
random,36500,50,7,1
random,36600,5,1,2
random,36600,5,2,2
random,36600,5,3,2
random,36600,5,4,2
random,36600,5,5,2
random,36600,5,6,2
random,36600,5,7,2
random,36600,10,1,1
random,36600,10,2,1
random,36600,10,3,2
random,36600,10,4,2
random,36600,10,5,2
random,36600,10,6,1
random,36600,10,7,1
random,36600,20,1,1
random,36600,20,2,1
random,36600,20,3,1
random,36600,20,4,1
random,36600,20,5,1
random,36600,20,6,1
random,36600,20,7,1
random,36600,30,1,1
random,36600,30,2,1
random,36600,30,3,1
random,36600,30,4,1
random,36600,30,5,1
random,36600,30,6,1
random,36600,30,7,1
random,36600,50,1,1
random,36600,50,2,1
random,36600,50,3,2
random,36600,50,4,1
random,36600,50,5,1
random,36600,50,6,1
random,36600,50,7,1
random,36700,5,1,2
random,36700,5,2,2
random,36700,5,3,2
random,36700,5,4,2
random,36700,5,5,2
random,36700,5,6,2
random,36700,5,7,2
random,36700,10,1,1
random,36700,10,2,2
random,36700,10,3,2
random,36700,10,4,1
random,36700,10,5,1
random,36700,10,6,1
random,36700,10,7,2
random,36700,20,1,1
random,36700,20,2,1
random,36700,20,3,1
random,36700,20,4,1
random,36700,20,5,1
random,36700,20,6,1
random,36700,20,7,1
random,36700,30,1,1
random,36700,30,2,1
random,36700,30,3,2
random,36700,30,4,1
random,36700,30,5,1
random,36700,30,6,1
random,36700,30,7,2
random,36700,50,1,1
random,36700,50,2,1
random,36700,50,3,1
random,36700,50,4,1
random,36700,50,5,1
random,36700,50,6,1
random,36700,50,7,1
random,36800,5,1,2
random,36800,5,2,2
random,36800,5,3,2
random,36800,5,4,2
random,36800,5,5,2
random,36800,5,6,2
random,36800,5,7,2
random,36800,10,1,1
random,36800,10,2,1
random,36800,10,3,2
random,36800,10,4,1
random,36800,10,5,1
random,36800,10,6,1
random,36800,10,7,2
random,36800,20,1,1
random,36800,20,2,1
random,36800,20,3,1
random,36800,20,4,1
random,36800,20,5,1
random,36800,20,6,1
random,36800,20,7,1
random,36800,30,1,1
random,36800,30,2,1
random,36800,30,3,1
random,36800,30,4,1
random,36800,30,5,1
random,36800,30,6,1
random,36800,30,7,1
random,36800,50,1,1
random,36800,50,2,1
random,36800,50,3,1
random,36800,50,4,1
random,36800,50,5,1
random,36800,50,6,1
random,36800,50,7,1
random,36900,5,1,2
random,36900,5,2,2
random,36900,5,3,2
random,36900,5,4,2
random,36900,5,5,2
random,36900,5,6,2
random,36900,5,7,2
random,36900,10,1,1
random,36900,10,2,1
random,36900,10,3,1
random,36900,10,4,2
random,36900,10,5,2
random,36900,10,6,2
random,36900,10,7,2
random,36900,20,1,2
random,36900,20,2,2
random,36900,20,3,2
random,36900,20,4,2
random,36900,20,5,1
random,36900,20,6,1
random,36900,20,7,2
random,36900,30,1,1
random,36900,30,2,1
random,36900,30,3,1
random,36900,30,4,1
random,36900,30,5,2
random,36900,30,6,1
random,36900,30,7,1
random,36900,50,1,1
random,36900,50,2,1
random,36900,50,3,1
random,36900,50,4,1
random,36900,50,5,1
random,36900,50,6,1
random,36900,50,7,1
random,37000,5,1,2
random,37000,5,2,2
random,37000,5,3,2
random,37000,5,4,2
random,37000,5,5,2
random,37000,5,6,2
random,37000,5,7,2
random,37000,10,1,2
random,37000,10,2,2
random,37000,10,3,2
random,37000,10,4,2
random,37000,10,5,2
random,37000,10,6,1
random,37000,10,7,2
random,37000,20,1,1
random,37000,20,2,2
random,37000,20,3,2
random,37000,20,4,2
random,37000,20,5,2
random,37000,20,6,1
random,37000,20,7,1
random,37000,30,1,1
random,37000,30,2,1
random,37000,30,3,1
random,37000,30,4,1
random,37000,30,5,1
random,37000,30,6,1
random,37000,30,7,1
random,37000,50,1,1
random,37000,50,2,1
random,37000,50,3,1
random,37000,50,4,1
random,37000,50,5,1
random,37000,50,6,1
random,37000,50,7,1
random,37100,5,1,2
random,37100,5,2,2
random,37100,5,3,2
random,37100,5,4,2
random,37100,5,5,2
random,37100,5,6,2
random,37100,5,7,2
random,37100,10,1,2
random,37100,10,2,2
random,37100,10,3,2
random,37100,10,4,2
random,37100,10,5,1
random,37100,10,6,1
random,37100,10,7,1
random,37100,20,1,1
random,37100,20,2,1
random,37100,20,3,1
random,37100,20,4,1
random,37100,20,5,1
random,37100,20,6,1
random,37100,20,7,1
random,37100,30,1,1
random,37100,30,2,1
random,37100,30,3,1
random,37100,30,4,1
random,37100,30,5,1
random,37100,30,6,1
random,37100,30,7,1
random,37100,50,1,1
random,37100,50,2,1
random,37100,50,3,1
random,37100,50,4,1
random,37100,50,5,1
random,37100,50,6,1
random,37100,50,7,1
random,37200,5,1,2
random,37200,5,2,2
random,37200,5,3,2
random,37200,5,4,2
random,37200,5,5,2
random,37200,5,6,2
random,37200,5,7,2
random,37200,10,1,2
random,37200,10,2,2
random,37200,10,3,2
random,37200,10,4,2
random,37200,10,5,2
random,37200,10,6,1
random,37200,10,7,2
random,37200,20,1,1
random,37200,20,2,1
random,37200,20,3,1
random,37200,20,4,1
random,37200,20,5,1
random,37200,20,6,1
random,37200,20,7,1
random,37200,30,1,1
random,37200,30,2,1
random,37200,30,3,1
random,37200,30,4,1
random,37200,30,5,1
random,37200,30,6,1
random,37200,30,7,1
random,37200,50,1,1
random,37200,50,2,1
random,37200,50,3,1
random,37200,50,4,1
random,37200,50,5,1
random,37200,50,6,1
random,37200,50,7,1
random,37300,5,1,2
random,37300,5,2,2
random,37300,5,3,2
random,37300,5,4,2
random,37300,5,5,2
random,37300,5,6,2
random,37300,5,7,2
random,37300,10,1,2
random,37300,10,2,2
random,37300,10,3,2
random,37300,10,4,2
random,37300,10,5,2
random,37300,10,6,2
random,37300,10,7,2
random,37300,20,1,1
random,37300,20,2,1
random,37300,20,3,1
random,37300,20,4,1
random,37300,20,5,1
random,37300,20,6,1
random,37300,20,7,1
random,37300,30,1,1
random,37300,30,2,1
random,37300,30,3,1
random,37300,30,4,1
random,37300,30,5,1
random,37300,30,6,1
random,37300,30,7,1
random,37300,50,1,1
random,37300,50,2,1
random,37300,50,3,1
random,37300,50,4,1
random,37300,50,5,1
random,37300,50,6,1
random,37300,50,7,1
random,37400,5,1,2
random,37400,5,2,2
random,37400,5,3,2
random,37400,5,4,2
random,37400,5,5,2
random,37400,5,6,2
random,37400,5,7,2
random,37400,10,1,2
random,37400,10,2,2
random,37400,10,3,2
random,37400,10,4,2
random,37400,10,5,2
random,37400,10,6,2
random,37400,10,7,2
random,37400,20,1,1
random,37400,20,2,1
random,37400,20,3,1
random,37400,20,4,1
random,37400,20,5,1
random,37400,20,6,1
random,37400,20,7,1
random,37400,30,1,1
random,37400,30,2,1
random,37400,30,3,1
random,37400,30,4,1
random,37400,30,5,1
random,37400,30,6,1
random,37400,30,7,1
random,37400,50,1,1
random,37400,50,2,1
random,37400,50,3,1
random,37400,50,4,1
random,37400,50,5,1
random,37400,50,6,1
random,37400,50,7,1
random,37500,5,1,2
random,37500,5,2,2
random,37500,5,3,2
random,37500,5,4,2
random,37500,5,5,2
random,37500,5,6,2
random,37500,5,7,2
random,37500,10,1,2
random,37500,10,2,2
random,37500,10,3,2
random,37500,10,4,2
random,37500,10,5,2
random,37500,10,6,2
random,37500,10,7,2
random,37500,20,1,1
random,37500,20,2,1
random,37500,20,3,1
random,37500,20,4,1
random,37500,20,5,1
random,37500,20,6,1
random,37500,20,7,1
random,37500,30,1,1
random,37500,30,2,1
random,37500,30,3,2
random,37500,30,4,2
random,37500,30,5,1
random,37500,30,6,1
random,37500,30,7,1
random,37500,50,1,1
random,37500,50,2,1
random,37500,50,3,1
random,37500,50,4,1
random,37500,50,5,1
random,37500,50,6,1
random,37500,50,7,1
random,37600,5,1,2
random,37600,5,2,2
random,37600,5,3,2
random,37600,5,4,2
random,37600,5,5,2
random,37600,5,6,2
random,37600,5,7,2
random,37600,10,1,2
random,37600,10,2,2
random,37600,10,3,2
random,37600,10,4,2
random,37600,10,5,2
random,37600,10,6,2
random,37600,10,7,2
random,37600,20,1,1
random,37600,20,2,1
random,37600,20,3,1
random,37600,20,4,1
random,37600,20,5,1
random,37600,20,6,1
random,37600,20,7,1
random,37600,30,1,1
random,37600,30,2,1
random,37600,30,3,1
random,37600,30,4,1
random,37600,30,5,1
random,37600,30,6,1
random,37600,30,7,1
random,37600,50,1,1
random,37600,50,2,2
random,37600,50,3,1
random,37600,50,4,1
random,37600,50,5,1
random,37600,50,6,1
random,37600,50,7,1
random,37700,5,1,2
random,37700,5,2,2
random,37700,5,3,2
random,37700,5,4,2
random,37700,5,5,2
random,37700,5,6,2
random,37700,5,7,2
random,37700,10,1,2
random,37700,10,2,2
random,37700,10,3,2
random,37700,10,4,2
random,37700,10,5,2
random,37700,10,6,2
random,37700,10,7,2
random,37700,20,1,1
random,37700,20,2,1
random,37700,20,3,1
random,37700,20,4,1
random,37700,20,5,1
random,37700,20,6,1
random,37700,20,7,1
random,37700,30,1,2
random,37700,30,2,2
random,37700,30,3,1
random,37700,30,4,2
random,37700,30,5,2
random,37700,30,6,2
random,37700,30,7,2
random,37700,50,1,2
random,37700,50,2,1
random,37700,50,3,2
random,37700,50,4,1
random,37700,50,5,1
random,37700,50,6,1
random,37700,50,7,1
random,37800,5,1,2
random,37800,5,2,2
random,37800,5,3,2
random,37800,5,4,2
random,37800,5,5,2
random,37800,5,6,2
random,37800,5,7,2
random,37800,10,1,2
random,37800,10,2,2
random,37800,10,3,2
random,37800,10,4,2
random,37800,10,5,2
random,37800,10,6,2
random,37800,10,7,2
random,37800,20,1,1
random,37800,20,2,1
random,37800,20,3,1
random,37800,20,4,1
random,37800,20,5,1
random,37800,20,6,1
random,37800,20,7,1
random,37800,30,1,2
random,37800,30,2,2
random,37800,30,3,1
random,37800,30,4,1
random,37800,30,5,1
random,37800,30,6,1
random,37800,30,7,1
random,37800,50,1,1
random,37800,50,2,1
random,37800,50,3,1
random,37800,50,4,1
random,37800,50,5,1
random,37800,50,6,1
random,37800,50,7,1
random,37900,5,1,2
random,37900,5,2,2
random,37900,5,3,2
random,37900,5,4,2
random,37900,5,5,2
random,37900,5,6,2
random,37900,5,7,2
random,37900,10,1,2
random,37900,10,2,2
random,37900,10,3,2
random,37900,10,4,2
random,37900,10,5,2
random,37900,10,6,2
random,37900,10,7,2
random,37900,20,1,1
random,37900,20,2,1
random,37900,20,3,1
random,37900,20,4,1
random,37900,20,5,1
random,37900,20,6,1
random,37900,20,7,1
random,37900,30,1,1
random,37900,30,2,1
random,37900,30,3,1
random,37900,30,4,1
random,37900,30,5,1
random,37900,30,6,1
random,37900,30,7,2
random,37900,50,1,1
random,37900,50,2,1
random,37900,50,3,1
random,37900,50,4,1
random,37900,50,5,1
random,37900,50,6,1
random,37900,50,7,1
random,38000,5,1,2
random,38000,5,2,2
random,38000,5,3,2
random,38000,5,4,2
random,38000,5,5,2
random,38000,5,6,2
random,38000,5,7,2
random,38000,10,1,2
random,38000,10,2,2
random,38000,10,3,2
random,38000,10,4,2
random,38000,10,5,2
random,38000,10,6,2
random,38000,10,7,2
random,38000,20,1,2
random,38000,20,2,1
random,38000,20,3,1
random,38000,20,4,1
random,38000,20,5,1
random,38000,20,6,1
random,38000,20,7,1
random,38000,30,1,1
random,38000,30,2,1
random,38000,30,3,1
random,38000,30,4,1
random,38000,30,5,1
random,38000,30,6,1
random,38000,30,7,1
random,38000,50,1,1
random,38000,50,2,1
random,38000,50,3,1
random,38000,50,4,1
random,38000,50,5,1
random,38000,50,6,1
random,38000,50,7,1
random,38100,5,1,2
random,38100,5,2,2
random,38100,5,3,2
random,38100,5,4,2
random,38100,5,5,2
random,38100,5,6,2
random,38100,5,7,2
random,38100,10,1,2
random,38100,10,2,2
random,38100,10,3,2
random,38100,10,4,2
random,38100,10,5,2
random,38100,10,6,2
random,38100,10,7,2
random,38100,20,1,2
random,38100,20,2,1
random,38100,20,3,1
random,38100,20,4,1
random,38100,20,5,2
random,38100,20,6,1
random,38100,20,7,1
random,38100,30,1,1
random,38100,30,2,1
random,38100,30,3,2
random,38100,30,4,1
random,38100,30,5,1
random,38100,30,6,2
random,38100,30,7,1
random,38100,50,1,1
random,38100,50,2,1
random,38100,50,3,1
random,38100,50,4,1
random,38100,50,5,1
random,38100,50,6,1
random,38100,50,7,1
random,38200,5,1,2
random,38200,5,2,2
random,38200,5,3,2
random,38200,5,4,2
random,38200,5,5,2
random,38200,5,6,2
random,38200,5,7,2
random,38200,10,1,2
random,38200,10,2,2
random,38200,10,3,2
random,38200,10,4,2
random,38200,10,5,2
random,38200,10,6,2
random,38200,10,7,2
random,38200,20,1,1
random,38200,20,2,1
random,38200,20,3,1
random,38200,20,4,1
random,38200,20,5,1
random,38200,20,6,1
random,38200,20,7,1
random,38200,30,1,2
random,38200,30,2,1
random,38200,30,3,1
random,38200,30,4,1
random,38200,30,5,1
random,38200,30,6,1
random,38200,30,7,1
random,38200,50,1,1
random,38200,50,2,1
random,38200,50,3,1
random,38200,50,4,1
random,38200,50,5,1
random,38200,50,6,1
random,38200,50,7,1
random,38300,5,1,2
random,38300,5,2,2
random,38300,5,3,2
random,38300,5,4,2
random,38300,5,5,2
random,38300,5,6,2
random,38300,5,7,2
random,38300,10,1,2
random,38300,10,2,2
random,38300,10,3,2
random,38300,10,4,2
random,38300,10,5,2
random,38300,10,6,2
random,38300,10,7,2
random,38300,20,1,1
random,38300,20,2,1
random,38300,20,3,1
random,38300,20,4,2
random,38300,20,5,1
random,38300,20,6,1
random,38300,20,7,1
random,38300,30,1,1
random,38300,30,2,2
random,38300,30,3,1
random,38300,30,4,1
random,38300,30,5,2
random,38300,30,6,1
random,38300,30,7,1
random,38300,50,1,1
random,38300,50,2,1
random,38300,50,3,1
random,38300,50,4,2
random,38300,50,5,1
random,38300,50,6,1
random,38300,50,7,1
random,38400,5,1,2
random,38400,5,2,2
random,38400,5,3,2
random,38400,5,4,2
random,38400,5,5,2
random,38400,5,6,2
random,38400,5,7,2
random,38400,10,1,2
random,38400,10,2,2
random,38400,10,3,2
random,38400,10,4,2
random,38400,10,5,2
random,38400,10,6,2
random,38400,10,7,2
random,38400,20,1,2
random,38400,20,2,1
random,38400,20,3,1
random,38400,20,4,1
random,38400,20,5,1
random,38400,20,6,2
random,38400,20,7,1
random,38400,30,1,2
random,38400,30,2,1
random,38400,30,3,1
random,38400,30,4,1
random,38400,30,5,1
random,38400,30,6,1
random,38400,30,7,1
random,38400,50,1,1
random,38400,50,2,1
random,38400,50,3,1
random,38400,50,4,1
random,38400,50,5,1
random,38400,50,6,1
random,38400,50,7,1
random,38500,5,1,2
random,38500,5,2,2
random,38500,5,3,2
random,38500,5,4,2
random,38500,5,5,2
random,38500,5,6,2
random,38500,5,7,2
random,38500,10,1,2
random,38500,10,2,2
random,38500,10,3,2
random,38500,10,4,2
random,38500,10,5,2
random,38500,10,6,2
random,38500,10,7,2
random,38500,20,1,1
random,38500,20,2,1
random,38500,20,3,2
random,38500,20,4,2
random,38500,20,5,1
random,38500,20,6,2
random,38500,20,7,2
random,38500,30,1,1
random,38500,30,2,1
random,38500,30,3,1
random,38500,30,4,1
random,38500,30,5,1
random,38500,30,6,2
random,38500,30,7,1
random,38500,50,1,1
random,38500,50,2,1
random,38500,50,3,1
random,38500,50,4,1
random,38500,50,5,1
random,38500,50,6,1
random,38500,50,7,1
random,38600,5,1,2
random,38600,5,2,2
random,38600,5,3,2
random,38600,5,4,2
random,38600,5,5,2
random,38600,5,6,2
random,38600,5,7,2
random,38600,10,1,2
random,38600,10,2,2
random,38600,10,3,2
random,38600,10,4,2
random,38600,10,5,2
random,38600,10,6,2
random,38600,10,7,2
random,38600,20,1,1
random,38600,20,2,2
random,38600,20,3,1
random,38600,20,4,1
random,38600,20,5,1
random,38600,20,6,1
random,38600,20,7,1
random,38600,30,1,1
random,38600,30,2,1
random,38600,30,3,2
random,38600,30,4,2
random,38600,30,5,1
random,38600,30,6,1
random,38600,30,7,1
random,38600,50,1,1
random,38600,50,2,2
random,38600,50,3,1
random,38600,50,4,2
random,38600,50,5,1
random,38600,50,6,1
random,38600,50,7,1
random,38700,5,1,2
random,38700,5,2,2
random,38700,5,3,2
random,38700,5,4,2
random,38700,5,5,2
random,38700,5,6,2
random,38700,5,7,2
random,38700,10,1,2
random,38700,10,2,2
