kind,N,best_T,best_median_ms
almost_sorted,500,5,0.0
almost_sorted,600,5,0.0
almost_sorted,700,5,0.0
almost_sorted,800,5,0.0
almost_sorted,900,5,0.0
almost_sorted,1000,5,0.0
almost_sorted,1100,5,0.0
almost_sorted,1200,5,0.0
almost_sorted,1300,5,0.0
almost_sorted,1400,5,0.0
almost_sorted,1500,5,0.0
almost_sorted,1600,5,0.0
almost_sorted,1700,5,0.0
almost_sorted,1800,5,0.0
almost_sorted,1900,5,0.0
almost_sorted,2000,5,0.0
almost_sorted,2100,5,0.0
almost_sorted,2200,5,0.0
almost_sorted,2300,5,0.0
almost_sorted,2400,5,0.0
almost_sorted,2500,5,0.0
almost_sorted,2600,5,0.0
almost_sorted,2700,5,0.0
almost_sorted,2800,5,0.0
almost_sorted,2900,5,0.0
almost_sorted,3000,5,0.0
almost_sorted,3100,5,0.0
almost_sorted,3200,5,0.0
almost_sorted,3300,5,0.0
almost_sorted,3400,5,0.0
almost_sorted,3500,5,0.0
almost_sorted,3600,5,0.0
almost_sorted,3700,5,0.0
almost_sorted,3800,5,0.0
almost_sorted,3900,5,0.0
almost_sorted,4000,5,0.0
almost_sorted,4100,5,0.0
almost_sorted,4200,5,0.0
almost_sorted,4300,5,0.0
almost_sorted,4400,5,0.0
almost_sorted,4500,5,0.0
almost_sorted,4600,5,0.0
almost_sorted,4700,5,0.0
almost_sorted,4800,5,0.0
almost_sorted,4900,5,0.0
almost_sorted,5000,5,0.0
almost_sorted,5100,5,0.0
almost_sorted,5200,5,0.0
almost_sorted,5300,5,0.0
almost_sorted,5400,5,0.0
almost_sorted,5500,5,0.0
almost_sorted,5600,5,0.0
almost_sorted,5700,5,0.0
almost_sorted,5800,5,0.0
almost_sorted,5900,5,0.0
almost_sorted,6000,5,0.0
almost_sorted,6100,5,0.0
almost_sorted,6200,5,0.0
almost_sorted,6300,5,0.0
almost_sorted,6400,5,0.0
almost_sorted,6500,5,0.0
almost_sorted,6600,5,0.0
almost_sorted,6700,5,0.0
almost_sorted,6800,5,0.0
