mode,N,seed,Shat,time_ms
wide,100,131542393125,0.874992235949962,0.002955000000000
wide,100,131542393126,0.972213595499958,0.002661000000000
wide,100,131542393127,1.263877674149945,0.002818000000000
wide,100,131542393128,0.972213595499958,0.002525000000000
wide,100,131542393129,0.680549516849971,0.002818000000000
wide,100,131542393130,0.388885438199983,0.002378000000000
wide,100,131542393131,0.874992235949962,0.048129000000000
wide,100,131542393132,0.972213595499958,0.002672000000000
wide,100,131542393133,1.069434955049954,0.002494000000000
wide,100,131542393134,0.583328157299975,0.002420000000000
wide,100,131542393135,0.680549516849971,0.002546000000000
wide,100,131542393136,1.166656314599950,0.002525000000000
wide,100,131542393137,1.166656314599950,0.002598000000000
wide,100,131542393138,1.458320393249937,0.002577000000000
wide,100,131542393139,1.069434955049954,0.002493000000000
wide,100,131542393140,0.680549516849971,0.002535000000000
wide,100,131542393141,0.972213595499958,0.002587000000000
wide,100,131542393142,0.777770876399966,0.002472000000000
wide,100,131542393143,0.972213595499958,0.002483000000000
wide,100,131542393144,0.874992235949962,0.002473000000000
wide,100,131542393145,1.166656314599950,0.002608000000000
wide,100,131542393146,0.680549516849971,0.002588000000000
wide,100,131542393147,0.680549516849971,0.002431000000000
wide,100,131542393148,0.680549516849971,0.002420000000000
wide,100,131542393149,0.680549516849971,0.002693000000000
wide,100,131542393150,0.874992235949962,0.002535000000000
wide,100,131542393151,1.166656314599950,0.002577000000000
wide,100,131542393152,0.777770876399966,0.002619000000000
wide,100,131542393153,1.069434955049954,0.002650000000000
wide,100,131542393154,0.777770876399966,0.002452000000000
wide,600,789254348625,0.939806475649959,0.014342000000000
wide,600,789254348626,1.037027835199955,0.014783000000000
wide,600,789254348627,0.729160196624968,0.014573000000000
wide,600,789254348628,1.020824275274956,0.013955000000000
wide,600,789254348629,0.680549516849971,0.014343000000000
wide,600,789254348630,0.696753076774970,0.013913000000000
wide,600,789254348631,1.118045634824952,0.014447000000000
wide,600,789254348632,0.972213595499958,0.014238000000000
wide,600,789254348633,1.069434955049954,0.014552000000000
wide,600,789254348634,1.037027835199955,0.014636000000000
wide,600,789254348635,0.891195795874961,0.014238000000000
wide,600,789254348636,1.118045634824952,0.015180000000000
wide,600,789254348637,0.891195795874961,0.013787000000000
wide,600,789254348638,1.004620715349956,0.016763000000000
wide,600,789254348639,1.182859874524949,0.017475000000000
wide,600,789254348640,1.199063434449948,0.017108000000000
wide,600,789254348641,1.231470554299947,0.034541000000000
wide,600,789254348642,0.842585116099964,0.016668000000000
wide,600,789254348643,1.118045634824952,0.015055000000000
wide,600,789254348644,0.777770876399966,0.014301000000000
wide,600,789254348645,0.956010035574959,0.015201000000000
wide,600,789254348646,0.696753076774970,0.014081000000000
wide,600,789254348647,0.874992235949962,0.014825000000000
wide,600,789254348648,0.939806475649959,0.014804000000000
wide,600,789254348649,0.858788676024963,0.014751000000000
wide,600,789254348650,0.972213595499958,0.014321000000000
wide,600,789254348651,0.810177996249965,0.014825000000000
wide,600,789254348652,0.939806475649959,0.014982000000000
wide,600,789254348653,0.923602915724960,0.014416000000000
wide,600,789254348654,1.053231395124955,0.014291000000000
wide,1100,1446966304125,1.034081733395410,0.026988000000000
wide,1100,1446966304126,0.972213595499958,0.026558000000000
wide,1100,1446966304127,1.087111565877226,0.027522000000000
wide,1100,1446966304128,0.936860373845414,0.026820000000000
wide,1100,1446966304129,0.936860373845414,0.026673000000000
wide,1100,1446966304130,0.954536984672686,0.026034000000000
wide,1100,1446966304131,0.981051900913594,0.026705000000000
wide,1100,1446966304132,1.140141398359042,0.027166000000000
wide,1100,1446966304133,1.148979703772678,0.026715000000000
wide,1100,1446966304134,0.998728511740866,0.027072000000000
wide,1100,1446966304135,1.007566817154502,0.027815000000000
wide,1100,1446966304136,0.989890206327230,0.026255000000000
wide,1100,1446966304137,1.034081733395410,0.027145000000000
wide,1100,1446966304138,0.954536984672686,0.027270000000000
